image_name,blob_count,avg_radius,std_radius,min_radius,max_radius,class
p214-010-60056-cl.png,105.0,15.570859609001689,14.85888374928801,8.0,128.00000000000006,3
p214-010-60056-cr.png,111.0,15.999635990350757,12.454346521410592,8.0,64.00000000000003,3
p214-010-60056-ml.png,99.0,15.751424772060707,13.1921958669331,8.0,90.50966799187813,3
p214-010-60056-mr.png,82.0,16.083201340720564,12.131953394669384,8.0,64.00000000000003,3
p214-010-60060-cl.png,73.0,14.864614828141296,10.674611730645909,8.0,64.00000000000003,4
p214-010-60060-cr.png,48.0,16.640103405594328,12.45419441999876,8.0,64.00000000000003,4
p214-010-60060-ml.png,54.0,18.291561100968217,14.223490478023855,8.0,90.50966799187813,4
p214-010-60060-mr.png,56.0,13.962873624311086,8.377411133182791,8.0,45.254833995939066,4
p214-010-60062-cl.png,98.0,17.69746442770123,13.818936939445539,8.0,90.50966799187813,4
p214-010-60062-cr.png,97.0,15.999583452875605,14.41694769640444,8.0,90.50966799187813,4
p214-010-60062-ml.png,71.0,20.894490161128182,19.169679677414717,8.0,128.00000000000006,4
p214-010-60062-mr.png,78.0,21.40747399256149,20.505835462790454,8.0,128.00000000000006,4
p214-010-60066-cl.png,136.0,14.385370503071812,9.659006657363829,8.0,64.00000000000003,3
p214-010-60066-cr.png,90.0,18.240724693485614,19.470443879857672,8.0,128.00000000000006,3
p214-010-60066-ml.png,81.0,12.902677561164374,6.669623281384668,8.0,45.254833995939066,3
p214-010-60066-mr.png,151.0,13.155425582257033,10.162634924596306,8.0,64.00000000000003,3
p214-010-60070-cl.png,60.0,20.807176515888322,24.201819603148287,8.0,128.00000000000006,3
p214-010-60070-cr.png,39.0,23.111599499140958,33.36830400516413,8.0,181.01933598375626,3
p214-010-60070-ml.png,99.0,15.556336807424495,12.184622751592133,8.0,90.50966799187813,3
p214-010-60070-mr.png,76.0,18.913814828119158,14.77388265310174,8.0,90.50966799187813,3
p214-010-60074-cl.png,166.0,12.450616309659955,5.95314915275359,8.0,45.254833995939066,2
p214-010-60074-cr.png,246.0,12.69933714985349,6.749526223894094,8.0,45.254833995939066,2
p214-010-60074-ml.png,64.0,12.156854249492381,10.592964398911157,8.0,90.50966799187813,2
p214-010-60074-mr.png,204.0,13.89214836713944,8.619880010327519,8.0,64.00000000000003,2
p214-010-60080-cl.png,70.0,18.23304059924583,19.928778951713365,8.0,128.00000000000006,2
p214-010-60080-cr.png,27.0,24.689156091201344,36.23280201522742,8.0,181.01933598375626,2
p214-010-60080-ml.png,83.0,15.872890685988619,15.56651539399939,8.0,90.50966799187813,2
p214-010-60080-mr.png,88.0,14.541210800524913,14.378282464763167,8.0,128.00000000000006,2
p214-010-60083-cl.png,96.0,17.20076357737415,16.816670271547398,8.0,90.50966799187813,3
p214-010-60083-cr.png,63.0,19.31370849898477,16.37059977618771,8.0,90.50966799187813,3
p214-010-60083-ml.png,97.0,17.649067988958077,14.550838256488746,8.0,90.50966799187813,3
p214-010-60083-mr.png,66.0,16.99701778720197,15.634408197142402,8.0,90.50966799187813,3
p214-010-60086-cl.png,23.0,32.749331802626344,31.5429790500367,8.0,128.00000000000006,3
p214-010-60086-cr.png,42.0,28.07561326088953,27.51186647917263,8.0,128.00000000000006,3
p214-010-60086-ml.png,39.0,23.316727704269162,17.267783963529347,8.0,64.00000000000003,3
p214-010-60086-mr.png,32.0,23.985281374238586,24.427572073347875,8.0,128.00000000000006,3
p214-010-60088-cl.png,108.0,14.967853124294978,11.312089676515713,8.0,64.00000000000003,3
p214-010-60088-cr.png,111.0,14.240053030900441,11.219159430447183,8.0,90.50966799187813,3
p214-010-60088-ml.png,106.0,15.031435640858149,12.007045853244223,8.0,90.50966799187813,3
p214-010-60088-mr.png,48.0,20.061255394691194,26.335262140122595,8.0,181.01933598375626,3
p214-010-60093-cl.png,54.0,17.637603536172207,16.493212319372994,8.0,90.50966799187813,3
p214-010-60093-cr.png,46.0,21.693933107856978,14.577506683052347,8.0,64.00000000000003,3
p214-010-60093-ml.png,62.0,18.650207128180767,20.219172469868255,8.0,128.00000000000006,3
p214-010-60093-mr.png,44.0,18.937150715009228,15.276921247326836,8.0,90.50966799187813,3
p214-010-60097-cl.png,44.0,11.067283215470693,5.882699322544863,8.0,45.254833995939066,3
p214-010-60097-cr.png,90.0,14.070796849447262,8.623701732848877,8.0,45.254833995939066,3
p214-010-60097-ml.png,99.0,11.163986176367738,4.969783293786912,8.0,32.00000000000001,3
p214-010-60097-mr.png,101.0,13.390401890626723,10.34954002802341,8.0,64.00000000000003,3
p214-010-60100-cl.png,48.0,19.623352561696283,22.186873767448677,8.0,128.00000000000006,3
p214-010-60100-cr.png,44.0,21.282513430756804,19.16815740840244,8.0,90.50966799187813,3
p214-010-60100-ml.png,71.0,19.041684435618784,23.976635347494195,8.0,181.01933598375626,3
p214-010-60100-mr.png,48.0,17.049410759380287,24.952974293483773,8.0,181.01933598375626,3
p214-010-60105-cl.png,42.0,20.198405821017644,21.81361790485487,8.0,128.00000000000006,3
p214-010-60105-cr.png,44.0,16.220582442835713,18.649444928047078,8.0,128.00000000000006,3
p214-010-60105-ml.png,29.0,26.761984361053734,30.207380691333213,8.0,128.00000000000006,3
p214-010-60105-mr.png,36.0,18.777216596235192,16.25746061926521,8.0,90.50966799187813,3
p214-010-60106-cl.png,35.0,13.116520299622913,8.215823292430121,8.0,45.254833995939066,2
p214-010-60106-cr.png,59.0,14.529400533227218,13.474957745638829,8.0,90.50966799187813,2
p214-010-60106-ml.png,99.0,14.098427267194788,9.3949269088121,8.0,64.00000000000003,2
p214-010-60106-mr.png,102.0,14.138590376843831,9.419538902526565,8.0,64.00000000000003,2
p214-010-60109-cl.png,36.0,10.714045207910315,4.3061082912750015,8.0,22.627416997969533,2
p214-010-60109-cr.png,43.0,12.254894453039782,7.123748627162138,8.0,45.254833995939066,2
p214-010-60109-ml.png,44.0,14.277620351742037,10.079886038347222,8.0,64.00000000000003,2
p214-010-60109-mr.png,56.0,12.287456186974255,6.836132398328309,8.0,45.254833995939066,2
p214-010-60112-cl.png,53.0,16.741386904970785,13.453957907099216,8.0,64.00000000000003,3
p214-010-60112-cr.png,45.0,13.29236491052453,14.098925553109465,8.0,90.50966799187813,3
p214-010-60112-ml.png,63.0,16.710854570977357,15.520126405240054,8.0,64.00000000000003,3
p214-010-60112-mr.png,60.0,15.79018758282572,11.877288246867495,8.0,64.00000000000003,3
p214-010-60117-cl.png,69.0,10.784022412616782,3.6823814397678873,8.0,22.627416997969533,2
p214-010-60117-cr.png,93.0,13.035621956421588,6.8945576943454006,8.0,45.254833995939066,2
p214-010-60117-ml.png,160.0,14.000357133746824,12.425377262986613,8.0,90.50966799187813,2
p214-010-60117-mr.png,88.0,15.172222209338939,20.670225414469677,8.0,181.01933598375626,2
p214-010-60120-cl.png,156.0,16.595134483147856,12.949070799218006,8.0,90.50966799187813,2
p214-010-60120-cr.png,122.0,14.934577618294911,13.469127950857382,8.0,128.00000000000006,2
p214-010-60120-ml.png,181.0,15.636539018635887,11.855775849742631,8.0,90.50966799187813,2
p214-010-60120-mr.png,89.0,16.635147611504017,21.388644443594,8.0,181.01933598375626,2
p214-010-60125-cl.png,32.0,17.735281374238575,21.435013286130406,8.0,128.00000000000006,2
p214-010-60125-cr.png,108.0,13.600753559649364,10.237054282725232,8.0,64.00000000000003,2
p214-010-60125-ml.png,55.0,14.351861463027225,13.601687054475727,8.0,90.50966799187813,2
p214-010-60125-mr.png,74.0,17.392675783125252,15.92491561080299,8.0,90.50966799187813,2
p214-010-60128-cl.png,27.0,20.76541070242526,18.608578662570785,8.0,90.50966799187813,2
p214-010-60128-cr.png,32.0,14.6317279836453,14.625749082102132,8.0,90.50966799187813,2
p214-010-60128-ml.png,40.0,11.656854249492381,7.051081406854659,8.0,45.254833995939066,2
p214-010-60128-mr.png,81.0,12.592343178573664,6.610937770944528,8.0,32.00000000000001,2
p214-010-60133-cl.png,78.0,15.000495794455288,12.312615909542297,8.0,64.00000000000003,3
p214-010-60133-cr.png,100.0,15.041950929411168,11.93229702266864,8.0,90.50966799187813,3
p214-010-60133-ml.png,176.0,12.528289380185738,6.56063756096352,8.0,45.254833995939066,3
p214-010-60133-mr.png,139.0,11.722661344870904,6.20194349214829,8.0,45.254833995939066,3
p214-010-60136-cl.png,40.0,17.022539674441624,13.908024411542465,8.0,64.00000000000003,3
p214-010-60136-cr.png,35.0,19.99942278469905,20.916711083833796,8.0,90.50966799187813,3
p214-010-60136-ml.png,54.0,18.259975406805797,20.560190813584303,8.0,128.00000000000006,3
p214-010-60136-mr.png,59.0,19.827172439920844,21.129989431531367,8.0,128.00000000000006,3
p214-010-60140-cl.png,34.0,13.989610381815465,6.725472313197737,8.0,32.00000000000001,2
p214-010-60140-cr.png,86.0,15.267431784281664,14.760835711380059,8.0,90.50966799187813,2
p214-010-60140-ml.png,108.0,14.298102712417743,17.075252818777027,8.0,128.00000000000006,2
p214-010-60140-mr.png,166.0,13.296117797721848,9.343962598987279,8.0,64.00000000000003,2
p214-010-60144-cl.png,159.0,14.046727826424663,8.364202150947776,8.0,64.00000000000003,2
p214-010-60144-cr.png,108.0,12.883250485500092,7.771243613362803,8.0,45.254833995939066,2
p214-010-60144-ml.png,151.0,14.41409362532356,16.84902175497082,8.0,181.01933598375626,2
p214-010-60144-mr.png,264.0,12.671559745681432,8.871544447521716,8.0,90.50966799187813,2
p214-010-60148-cl.png,119.0,13.999165717864607,9.690495970018304,8.0,64.00000000000003,3
p214-010-60148-cr.png,113.0,11.709519973073983,5.6272464902586625,8.0,32.00000000000001,3
p214-010-60148-ml.png,153.0,12.812370192233164,7.418403638306241,8.0,45.254833995939066,3
p214-010-60148-mr.png,108.0,13.177366244646544,7.849603691506293,8.0,45.254833995939066,3
p214-010-60153-cl.png,60.0,12.843453574373939,8.845659968758774,8.0,45.254833995939066,3
p214-010-60153-cr.png,81.0,14.697400808103025,10.762818466267307,8.0,90.50966799187813,3
p214-010-60153-ml.png,63.0,13.046363856530494,7.639621632937295,8.0,45.254833995939066,3
p214-010-60153-mr.png,104.0,15.736979677211044,9.561610414358547,8.0,64.00000000000003,3
p214-010-60157-cl.png,144.0,10.57202580868232,5.056244024361207,8.0,45.254833995939066,3
p214-010-60157-cr.png,154.0,11.281377778772493,5.187709860279047,8.0,45.254833995939066,3
p214-010-60157-ml.png,112.0,11.484410423608589,6.598248907905936,8.0,64.00000000000003,3
p214-010-60157-mr.png,195.0,11.764697517448909,5.765689410141133,8.0,45.254833995939066,3
p214-010-60161-cl.png,45.0,9.477992622041738,4.272767808506721,8.0,32.00000000000001,2
p214-010-60161-cr.png,37.0,11.341804134641235,5.03084733592473,8.0,22.627416997969533,2
p214-010-60161-ml.png,44.0,11.550347624469307,4.050635946625921,8.0,22.627416997969533,2
p214-010-60161-mr.png,47.0,12.556519595183062,5.8595064344860885,8.0,32.00000000000001,2
p214-010-60167-cl.png,102.0,12.80199190152284,7.752999635840548,8.0,45.254833995939066,2
p214-010-60167-cr.png,145.0,12.061923661466825,6.138600115502741,8.0,45.254833995939066,2
p214-010-60167-ml.png,107.0,12.459036284619764,7.942932195850228,8.0,64.00000000000003,2
p214-010-60167-mr.png,154.0,13.239740626036651,10.418897446439843,8.0,90.50966799187813,2
p214-010-60171-cl.png,54.0,9.426283999699187,2.6730450720133923,8.0,22.627416997969533,2
p214-010-60171-cr.png,68.0,9.769603595334427,2.6726542769588293,8.0,16.000000000000004,2
p214-010-60171-ml.png,269.0,12.156927741163926,7.816732130799244,8.0,64.00000000000003,2
p214-010-60171-mr.png,210.0,12.834538575678025,7.080378690901758,8.0,64.00000000000003,2
p214-010-60174-cl.png,88.0,15.603600936980849,11.792925521044607,8.0,64.00000000000003,3
p214-010-60174-cr.png,89.0,14.4895244487994,10.106610158114043,8.0,64.00000000000003,3
p214-010-60174-ml.png,100.0,13.875088014401012,9.572979295528928,8.0,64.00000000000003,3
p214-010-60174-mr.png,94.0,14.414258073884866,11.838245553985876,8.0,90.50966799187813,3
p214-010-60176-cl.png,81.0,10.429430098414484,3.5924921945586807,8.0,32.00000000000001,2
p214-010-60176-cr.png,35.0,12.904192942335019,6.886556588734912,8.0,32.00000000000001,2
p214-010-60176-ml.png,92.0,12.946282695122488,5.901571569223558,8.0,32.00000000000001,2
p214-010-60176-mr.png,56.0,12.785353526151193,7.168812877211697,8.0,45.254833995939066,2
p214-010-60181-cl.png,182.0,11.71966445556423,5.115266226255284,8.0,32.00000000000001,2
p214-010-60181-cr.png,224.0,12.279841778560094,7.5445193092612515,8.0,90.50966799187813,2
p214-010-60181-ml.png,283.0,11.591484755767608,5.703946673889407,8.0,45.254833995939066,2
p214-010-60181-mr.png,212.0,11.283288402827791,7.397644129563719,8.0,90.50966799187813,2
p214-010-60182-cl.png,203.0,12.206307969903223,5.846234646076101,8.0,45.254833995939066,2
p214-010-60182-cr.png,300.0,11.535351604529607,4.980193773995441,8.0,45.254833995939066,2
p214-010-60182-ml.png,143.0,13.242555419225445,13.009616081350273,8.0,128.00000000000006,2
p214-010-60182-mr.png,176.0,12.611399704037838,9.864899080509183,8.0,90.50966799187813,2
p214-010-60194-cl.png,36.0,26.78646783186689,28.887456466299728,8.0,128.00000000000006,3
p214-010-60194-cr.png,40.0,18.25096679918781,28.335529126786128,8.0,181.01933598375626,3
p214-010-60194-ml.png,78.0,15.800392191708966,16.323301464187537,8.0,128.00000000000006,3
p214-010-60194-mr.png,70.0,17.086819199071787,23.609575138694506,8.0,181.01933598375626,3
p214-010-60196-cl.png,59.0,17.853430177398263,21.726359380202545,8.0,128.00000000000006,3
p214-010-60196-cr.png,51.0,19.10110629360008,25.94131183901885,8.0,128.00000000000006,3
p214-010-60196-ml.png,75.0,15.071622886003382,20.61050339629691,8.0,181.01933598375626,3
p214-010-60196-mr.png,59.0,16.47987867707132,23.140104715550407,8.0,181.01933598375626,3
p214-010-60202-cl.png,74.0,10.685472479304428,4.259695085138377,8.0,32.00000000000001,2
p214-010-60202-cr.png,150.0,12.921558432724195,8.55842631580291,8.0,64.00000000000003,2
p214-010-60202-ml.png,69.0,14.58197711555948,9.714959400580275,8.0,64.00000000000003,2
p214-010-60202-mr.png,109.0,12.931813540762816,9.758427852029957,8.0,90.50966799187813,2
p214-010-60207-cl.png,26.0,18.834831826337368,15.990955210215805,8.0,64.00000000000003,3
p214-010-60207-cr.png,41.0,21.460049962399406,30.32109322956072,8.0,181.01933598375626,3
p214-010-60207-ml.png,59.0,18.322019210986827,16.051776980621792,8.0,90.50966799187813,3
p214-010-60207-mr.png,57.0,17.497410183622762,13.950360808617685,8.0,64.00000000000003,3
p214-010-60210-cl.png,58.0,19.171717153947128,23.3687918768353,8.0,181.01933598375626,3
p214-010-60210-cr.png,78.0,18.636992627554342,17.696760333838114,8.0,128.00000000000006,3
p214-010-60210-ml.png,38.0,21.382851051562923,30.14412741727286,8.0,181.01933598375626,3
p214-010-60210-mr.png,83.0,16.423804300691085,10.433650460464708,8.0,64.00000000000003,3
p214-010-60211-cl.png,22.0,23.71389215839871,28.677144059810253,8.0,128.00000000000006,4
p214-010-60211-cr.png,40.0,20.762236636408623,17.9591071563642,8.0,90.50966799187813,4
p214-010-60211-ml.png,101.0,18.365545112966775,18.21689511291834,8.0,90.50966799187813,4
p214-010-60211-mr.png,78.0,16.094757082487302,15.353436918975367,8.0,90.50966799187813,4
p214-010-60216-cl.png,85.0,16.479572181600474,12.732549562380614,8.0,90.50966799187813,3
p214-010-60216-cr.png,69.0,16.80618189052453,14.779100631635098,8.0,90.50966799187813,3
p214-010-60216-ml.png,99.0,16.26974505992924,13.370495247359235,8.0,90.50966799187813,3
p214-010-60216-mr.png,80.0,15.219595949289337,12.375940333581765,8.0,90.50966799187813,3
p214-010-60224-cl.png,80.0,14.69533188057741,10.278483395894815,8.0,64.00000000000003,2
p214-010-60224-cr.png,70.0,15.513156042306015,10.508458683021923,8.0,64.00000000000003,2
p214-010-60224-ml.png,91.0,17.815543174998602,13.798066573255145,8.0,90.50966799187813,2
p214-010-60224-mr.png,68.0,16.014693138944462,9.074862702939932,8.0,45.254833995939066,2
p214-010-60226-cl.png,61.0,15.902273310942832,21.800203005592852,8.0,128.00000000000006,3
p214-010-60226-cr.png,97.0,16.232855793060857,13.037596744958982,8.0,90.50966799187813,3
p214-010-60226-ml.png,65.0,16.171934722420932,17.481618599895672,8.0,128.00000000000006,3
p214-010-60226-mr.png,74.0,15.826699418342708,16.357556039197455,8.0,128.00000000000006,3
p214-010-60231-cl.png,82.0,16.497117505317565,14.280849939389286,8.0,90.50966799187813,3
p214-010-60231-cr.png,67.0,16.253718409674967,12.494604648474466,8.0,90.50966799187813,3
p214-010-60231-ml.png,107.0,16.568984901328335,11.931719725221347,8.0,64.00000000000003,3
p214-010-60231-mr.png,100.0,16.473910524340102,15.008340082635284,8.0,90.50966799187813,3
p214-010-60233-cl.png,162.0,14.480868644604245,10.835845809572454,8.0,90.50966799187813,3
p214-010-60233-cr.png,70.0,14.548167377860766,21.047075744015373,8.0,181.01933598375626,3
p214-010-60233-ml.png,102.0,15.006909420911713,16.254366623724042,8.0,128.00000000000006,3
p214-010-60233-mr.png,71.0,20.05576894266104,24.44234243990497,8.0,181.01933598375626,3
p214-010-60247-cl.png,66.0,17.36570027936471,14.405671206097338,8.0,90.50966799187813,4
p214-010-60247-cr.png,23.0,16.44670304259545,12.004776327814515,8.0,45.254833995939066,4
p214-010-60247-ml.png,45.0,22.452704810005635,31.06495778639184,8.0,181.01933598375626,4
p214-010-60247-mr.png,30.0,15.211101482758036,12.092245105076087,8.0,64.00000000000003,4
p214-010-60257-cl.png,59.0,14.973072118127847,8.287850582481925,8.0,45.254833995939066,2
p214-010-60257-cr.png,58.0,12.990864301251529,6.394733545681308,8.0,32.00000000000001,2
p214-010-60257-ml.png,109.0,13.12681201778978,6.61514933656246,8.0,45.254833995939066,2
p214-010-60257-mr.png,121.0,13.715754941410403,8.522816257886152,8.0,45.254833995939066,2
p214-010-60264-cl.png,143.0,15.429713708987965,12.372743188941907,8.0,90.50966799187813,2
p214-010-60264-cr.png,65.0,16.80843599937524,16.27644411722231,8.0,128.00000000000006,2
p214-010-60264-ml.png,230.0,13.642446821235929,11.315483483655498,8.0,128.00000000000006,2
p214-010-60264-mr.png,174.0,14.760863137254212,10.231892888753675,8.0,64.00000000000003,2
p214-010-60266-cl.png,117.0,12.917872243025725,7.963615699132143,8.0,64.00000000000003,2
p214-010-60266-cr.png,102.0,12.239515597581365,6.7328680989993686,8.0,45.254833995939066,2
p214-010-60266-ml.png,133.0,13.21818398069157,7.845399221474844,8.0,45.254833995939066,2
p214-010-60266-mr.png,118.0,12.200225003781293,5.132343571418025,8.0,32.00000000000001,2
p214-010-60279-cl.png,106.0,14.315565348462787,13.245450058207073,8.0,90.50966799187813,2
p214-010-60279-cr.png,66.0,17.519891544654666,15.646436527884363,8.0,90.50966799187813,2
p214-010-60279-ml.png,126.0,13.624173701824992,9.864204269130656,8.0,64.00000000000003,2
