image_name,blob_count,avg_radius,std_radius,min_radius,max_radius,avg_contrast,std_contrast,min_contrast,max_contrast,avg_dissimilarity,std_dissimilarity,min_dissimilarity,max_dissimilarity,avg_homogeneity,std_homogeneity,min_homogeneity,max_homogeneity,avg_energy,std_energy,min_energy,max_energy,avg_correlation,std_correlation,min_correlation,max_correlation,class
p214-010-60070-cr.png,76.0,20.91381482811915,28.099105283908898,8.0,181.01933598375626,2390952.718201754,77222.40460526319,346.86510894446195,93.14073547209732,1.00001429338437,5063495.764577707,231106.01679076327,1488.7899352728355,273.7804817246201,0.00013057218137814693,32285975.125,1582197.291666667,11279.77747610615,1981.9368865697888,1.0011450452752806,361290.75,6536.083333333332,6.4009385232170715,14.378624634212219,0.9999964390973636,3
p214-010-60070-ml.png,148.0,16.636578124142538,16.14737693350892,8.0,90.50966799187813,1592888.5689752256,41310.148367117166,118.30978298268127,46.610825103640344,0.9999989746594724,2596015.7570420457,93339.64228083457,399.2739284035625,85.30180313495703,1.2326099977339102e-06,17240950.958333332,573522.4583333335,2619.0620356361333,545.0422714579955,0.9999999999927276,303297.83333333326,5966.416666666668,5.665203803107205,14.187601976649301,0.9999945323239849,3
p214-010-60070-mr.png,97.0,19.685050793165523,25.91269664537913,8.0,181.01933598375626,2233394.899484537,70360.68298969076,277.4462218667478,80.32651739229607,1.0000008401948968,5442825.58086793,228618.50008882378,1199.2340809627733,237.74790126559932,1.842971092604368e-05,43952571.16666666,1853465.0,9794.984268059028,1900.5488143202926,1.0001810569181917,360956.45833333326,6526.458333333332,6.409960267636661,14.484769348996528,0.9999961240194204,3
p214-010-60074-cl.png,352.0,13.591902786395359,8.55921600645633,8.0,64.00000000000003,1485322.3217329534,28199.830492424247,35.69615784647392,29.75836296187849,0.9999985388556976,1610641.4031366096,40880.54717540728,79.24398148322065,28.885726784182214,1.52012931132413e-06,15356384.375,388690.625,827.3667363106733,264.1561550824606,0.9999999998678448,408342.45833333326,7181.875,4.353060918924698,14.176497418604994,0.9999944728768568,2
p214-010-60074-cr.png,375.0,13.83831764478646,10.211087018301491,8.0,128.00000000000006,1527725.466111112,30380.072111111112,45.30134419127517,31.901368356813254,0.9999986471411012,2245168.8522214363,69175.55393149103,213.67361670539623,57.44876199199091,1.4405159716634454e-06,31923168.41666667,1118801.0,3910.471852604218,1001.4301699878515,0.9999999999914572,276243.375,5576.125,4.336581423453995,14.085854659747774,0.9999940734127288,2
p214-010-60074-ml.png,219.0,13.79486975974086,9.360522236016823,8.0,90.50966799187813,1408609.6624809734,27330.869101978722,62.362136863334726,36.76912609828288,0.9999987629354296,1503366.430592289,41683.64498969138,410.50488268034445,121.15328270069008,1.3494814677711807e-06,12333414.083333336,388464.0,6011.110842414211,1787.1654901032398,0.9999999999886928,404292.20833333326,6783.041666666668,4.425220902625209,14.18535658875032,0.9999946733170401,2
p214-010-60074-mr.png,267.0,14.059401930167866,11.733458200208053,8.0,128.00000000000006,1538117.7514044943,32621.77980649189,55.08793627289135,34.03392950710713,0.9999987399228591,3230271.6781458333,94873.80754015048,235.8389993145012,65.67805964387038,1.3409257000970609e-06,43889626.41666666,1319765.083333333,3387.554348562135,911.556503780086,0.9999999999939716,193742.25,4029.916666666666,4.904638322277719,14.20288058001966,0.9999950480858572,2
p214-010-60080-cl.png,91.0,16.312202070524904,22.324775028964574,8.0,181.01933598375626,2154071.07142857,57894.35714285718,176.98638293423758,56.41138702420525,,5665233.132815882,222179.4081662745,998.827103260988,190.2685127223653,,49878873.375,1993885.375,9229.933248098338,1723.965956020744,,248895.54166666663,4933.041666666667,3.9605167166295363,14.423487369535664,,2
p214-010-60080-cr.png,100.0,15.414499269370555,22.19534213015369,8.0,181.01933598375626,1738359.3304166675,49089.63291666666,195.001207963988,50.1668837189454,,4641776.506540523,197982.68277317216,1123.2983944458372,173.64800928503914,,38418320.54166666,1713894.458333333,10414.643445648571,1571.5331404535818,,194152.3333333333,2524.5,4.769632609622053,14.166022093599064,,2
p214-010-60080-ml.png,165.0,18.246450641587447,23.31679865655177,8.0,181.01933598375626,2118489.78737374,60120.530303030275,260.0501220690124,98.01232666937037,,4685129.7100346405,196890.68535844554,1444.6501625230921,467.6497389164319,,36767950.083333336,1667172.625,14990.992728998883,5663.358968239686,,314255.66666666674,5207.416666666667,5.892182637080849,14.24275128267442,,2
p214-010-60080-mr.png,153.0,16.783147995995485,18.86308933931409,8.0,181.01933598375626,1637205.3605664496,44645.25708061001,168.72011425641952,61.345089970196454,0.9999994999749116,3144617.953802873,142354.33582866102,923.1356823193784,186.4401330612814,6.987192529511003e-06,33422641.54166667,1627583.458333333,10764.446734817464,1755.163367714977,1.0000843580520524,200835.2083333333,4262.541666666667,5.215612060518698,14.231362933777847,0.9999955261559592,2
p214-010-60083-cl.png,113.0,19.811367773428863,27.48718074259407,8.0,181.01933598375626,2372951.062315634,75376.14196165191,300.2651683263124,74.79133976971156,1.0000010259539347,6348670.177115555,263556.3640865653,1347.0476922222126,229.82169549923884,1.6181509432646705e-05,49461266.45833334,1971724.458333333,9978.922852907215,1729.6118991360904,1.0001259482747684,327655.08333333326,6187.666666666668,5.399138495116892,14.186123275240044,0.9999954750415494,3
p214-010-60083-cr.png,89.0,22.19650111128728,32.65465624335495,8.0,181.01933598375626,2648875.566011236,92973.19335206,449.8730718164984,104.2468793465762,1.0000287896164806,6439253.763384309,288656.5239802458,1721.271177894056,298.62769648594605,0.00020950077977827225,44471537.66666666,1875990.75,11370.51104895153,1877.3282594046561,1.0017959362608766,287766.45833333326,6335.791666666668,5.277107218780773,14.315617214032542,0.9999956650624648,3
p214-010-60083-ml.png,106.0,19.57360667361842,24.552722576883898,8.0,181.01933598375626,2070011.465801887,64502.55149371067,260.3489149047255,73.1893391080594,1.0000018839460665,4846536.194127722,205786.96552553933,1114.0109589055962,212.2124735932805,2.8994409442669812e-05,42488950.29166666,1820459.625,9908.869995541254,1876.8184497000068,1.0002987585518015,246922.25,4615.5,5.783267374621826,14.202136233709481,0.999996078972434,3
