,x,y,radius,img_name
0,1579.0,1351.0,181.01933598375626,phMix402_c_0.dcm
1,1511.0,1069.0,128.00000000000006,phMix402_c_0.dcm
2,1561.0,791.0,90.50966799187813,phMix402_c_0.dcm
3,1695.0,1050.0,45.25483399593906,phMix402_c_0.dcm
4,1695.0,574.0,45.25483399593906,phMix402_c_0.dcm
5,1690.0,1138.0,45.25483399593906,phMix402_c_0.dcm
6,1722.0,821.0,32.00000000000001,phMix402_c_0.dcm
7,1699.0,1622.0,32.00000000000001,phMix402_c_0.dcm
8,1681.0,1183.0,32.00000000000001,phMix402_c_0.dcm
9,1639.0,985.0,32.00000000000001,phMix402_c_0.dcm
10,1732.0,866.0,22.627416997969526,phMix402_c_0.dcm
11,1741.0,1445.0,16.000000000000004,phMix402_c_0.dcm
12,1729.0,540.0,16.000000000000004,phMix402_c_0.dcm
13,1656.0,1093.0,16.000000000000004,phMix402_c_0.dcm
14,1398.0,1205.0,16.000000000000004,phMix402_c_0.dcm
15,1396.0,1175.0,16.000000000000004,phMix402_c_0.dcm
16,1747.0,1491.0,11.313708498984761,phMix402_c_0.dcm
17,1746.0,1015.0,11.313708498984761,phMix402_c_0.dcm
18,1745.0,671.0,11.313708498984761,phMix402_c_0.dcm
19,1741.0,557.0,11.313708498984761,phMix402_c_0.dcm
20,1736.0,1153.0,11.313708498984761,phMix402_c_0.dcm
21,1731.0,1475.0,11.313708498984761,phMix402_c_0.dcm
22,1723.0,1177.0,11.313708498984761,phMix402_c_0.dcm
23,1714.0,723.0,11.313708498984761,phMix402_c_0.dcm
24,1712.0,1550.0,11.313708498984761,phMix402_c_0.dcm
25,1700.0,1509.0,11.313708498984761,phMix402_c_0.dcm
26,1694.0,1552.0,11.313708498984761,phMix402_c_0.dcm
27,1693.0,1527.0,11.313708498984761,phMix402_c_0.dcm
28,1693.0,994.0,11.313708498984761,phMix402_c_0.dcm
29,1693.0,512.0,11.313708498984761,phMix402_c_0.dcm
30,1688.0,1496.0,11.313708498984761,phMix402_c_0.dcm
31,1674.0,701.0,11.313708498984761,phMix402_c_0.dcm
32,1663.0,767.0,11.313708498984761,phMix402_c_0.dcm
33,1590.0,681.0,11.313708498984761,phMix402_c_0.dcm
34,1750.0,1465.0,8.0,phMix402_c_0.dcm
35,1750.0,1142.0,8.0,phMix402_c_0.dcm
36,1745.0,459.0,8.0,phMix402_c_0.dcm
37,1743.0,1162.0,8.0,phMix402_c_0.dcm
38,1743.0,582.0,8.0,phMix402_c_0.dcm
39,1742.0,635.0,8.0,phMix402_c_0.dcm
40,1715.0,699.0,8.0,phMix402_c_0.dcm
41,1710.0,925.0,8.0,phMix402_c_0.dcm
42,1707.0,746.0,8.0,phMix402_c_0.dcm
43,1693.0,1655.0,8.0,phMix402_c_0.dcm
44,1687.0,975.0,8.0,phMix402_c_0.dcm
45,1685.0,812.0,8.0,phMix402_c_0.dcm
46,1683.0,955.0,8.0,phMix402_c_0.dcm
47,1681.0,947.0,8.0,phMix402_c_0.dcm
48,1678.0,1647.0,8.0,phMix402_c_0.dcm
49,1678.0,933.0,8.0,phMix402_c_0.dcm
50,1677.0,1529.0,8.0,phMix402_c_0.dcm
51,1658.0,797.0,8.0,phMix402_c_0.dcm
52,1656.0,536.0,8.0,phMix402_c_0.dcm
53,1654.0,871.0,8.0,phMix402_c_0.dcm
54,1644.0,897.0,8.0,phMix402_c_0.dcm
55,1595.0,701.0,8.0,phMix402_c_0.dcm
56,1419.0,1230.0,8.0,phMix402_c_0.dcm
57,1390.0,1241.0,8.0,phMix402_c_0.dcm
58,1390.0,1233.0,8.0,phMix402_c_0.dcm
59,1579.0,1354.0,181.01933598375626,phMix402_c_1.dcm
60,1519.0,933.0,128.00000000000006,phMix402_c_1.dcm
61,1511.0,1074.0,128.00000000000006,phMix402_c_1.dcm
62,1561.0,794.0,90.50966799187813,phMix402_c_1.dcm
63,1695.0,1054.0,45.25483399593906,phMix402_c_1.dcm
64,1695.0,576.0,45.25483399593906,phMix402_c_1.dcm
65,1690.0,1142.0,45.25483399593906,phMix402_c_1.dcm
66,1722.0,823.0,32.00000000000001,phMix402_c_1.dcm
67,1699.0,1627.0,32.00000000000001,phMix402_c_1.dcm
68,1733.0,871.0,22.627416997969526,phMix402_c_1.dcm
69,1716.0,623.0,22.627416997969526,phMix402_c_1.dcm
70,1697.0,1594.0,22.627416997969526,phMix402_c_1.dcm
71,1583.0,698.0,22.627416997969526,phMix402_c_1.dcm
72,1739.0,1448.0,16.000000000000004,phMix402_c_1.dcm
73,1656.0,1095.0,16.000000000000004,phMix402_c_1.dcm
74,1398.0,1208.0,16.000000000000004,phMix402_c_1.dcm
75,1397.0,1181.0,16.000000000000004,phMix402_c_1.dcm
76,1747.0,1031.0,11.313708498984761,phMix402_c_1.dcm
77,1741.0,560.0,11.313708498984761,phMix402_c_1.dcm
78,1738.0,1158.0,11.313708498984761,phMix402_c_1.dcm
79,1723.0,1180.0,11.313708498984761,phMix402_c_1.dcm
