,count,mean,std,min,25%,50%,75%,max,img_name
0,3840.0,0.9765635212418301,0.06327519238057683,0.0,0.9790646219577325,0.98120088502327,0.9826199740596627,0.9884641794460975,test_Mix_DPerc0_c_0.dcm
1,8712.0,0.9810900539411327,0.0027469958205641846,0.9673609521629664,0.9799191271839475,0.9813382162203402,0.9827725642786297,0.9892576485847258,test_Mix_DPerc0_c_0.dcm
2,13312.0,0.9826037143522105,0.0023529632621675724,0.9714045929655909,0.98124666208896,0.9825894560158693,0.9839932860303654,0.9919127183947509,test_Mix_DPerc0_c_0.dcm
3,17424.0,0.9799863802020006,0.004748409232326742,0.9572442206454567,0.9776150148775463,0.9807583733882658,0.9831540398260471,0.9915770199130236,test_Mix_DPerc0_c_0.dcm
4,32768.0,0.9814649180706755,0.0039114058927375165,0.9647058823529412,0.9792324711985961,0.9818570229648279,0.9840390630960555,0.9966887922484169,test_Mix_DPerc0_c_0.dcm
5,48600.0,0.9832652077660258,0.0024423617399336925,0.9746395056076905,0.9816281376363775,0.9832303349355306,0.9848477912565805,0.9944457160296025,test_Mix_DPerc0_c_0.dcm
6,114688.0,0.9798996256568958,0.04595293601848165,0.0,0.9804989700160219,0.9825589379720759,0.9848172732127871,0.9966887922484169,test_Mix_DPerc0_c_0.dcm
7,162000.0,0.9825207742163974,0.005628336574608493,0.9304188601510643,0.9813229571984435,0.9831540398260471,0.9851529716945144,0.9954985885404746,test_Mix_DPerc0_c_0.dcm
8,4096.0,0.9757754347331101,0.061199162232306224,0.0,0.9776874952315556,0.9798886091401541,0.9818722819867246,0.9878233005264363,test_Mix_DPerc0_c_1.dcm
9,9680.0,0.9767482062767545,0.06607303950994023,0.0,0.9797207598992904,0.9815671015487907,0.9831540398260471,0.9891050583657588,test_Mix_DPerc0_c_1.dcm
10,6144.0,0.9775648841228287,0.07078344421792195,0.0,0.9808651865415426,0.9825131609063859,0.9842679484245059,0.9911650263218128,test_Mix_DPerc0_c_1.dcm
11,13552.0,0.9814224876367242,0.004512523128212587,0.9573510337987335,0.980193789578088,0.9823910887312123,0.9841306172274357,0.9910429541466392,test_Mix_DPerc0_c_1.dcm
12,20480.0,0.9789328735658904,0.05494214450961408,0.0,0.9795376516365301,0.9824979018844892,0.9845883878843367,0.9954375524528878,test_Mix_DPerc0_c_1.dcm
13,48600.0,0.977681859754518,0.0731163751985341,0.0,0.9815060654612039,0.9830624856946669,0.9846952010376135,0.9920195315480278,test_Mix_DPerc0_c_1.dcm
14,114688.0,0.9797068152596945,0.050572584548555295,0.0,0.980849927519646,0.9828793774319066,0.9850614175631343,0.9966887922484169,test_Mix_DPerc0_c_1.dcm
15,162000.0,0.9827837396283392,0.005618441493908139,0.9302815289539941,0.9815823605706874,0.9834287022201876,0.9853971160448616,0.9954528114747845,test_Mix_DPerc0_c_1.dcm
16,3840.0,0.9680438172350653,0.10896437178702201,0.0,0.9785915922789349,0.980697337300679,0.9821622034027618,0.990249485008011,test_Mix_DPerc0_c_2.dcm
17,8228.0,0.9757593338461462,0.0716121822191396,0.0,0.979579613946746,0.981399252307927,0.9828793774319066,0.9884489204242008,test_Mix_DPerc0_c_2.dcm
18,8192.0,0.9657034669868676,0.12172618663589498,0.0,0.9790188448920424,0.98124666208896,0.983260852979324,0.9923857480735485,test_Mix_DPerc0_c_2.dcm
19,13552.0,0.9799204074014722,0.004640628973831991,0.9569542992294194,0.9771725032425421,0.981048294804303,0.9830930037384603,0.990249485008011,test_Mix_DPerc0_c_2.dcm
20,28672.0,0.9752934445300493,0.08015036650305174,0.0,0.9800869764248111,0.9821316853589684,0.9839780270084687,0.995223926146334,test_Mix_DPerc0_c_2.dcm
21,40500.0,0.973824771420794,0.09225506041075571,0.0,0.9809872587167162,0.9824979018844892,0.9840085450522621,0.9915465018692302,test_Mix_DPerc0_c_2.dcm
22,131072.0,0.9798046759048571,0.0449017788003119,0.0,0.9803921568627451,0.9822690165560387,0.9842984664682993,0.9967803463797971,test_Mix_DPerc0_c_2.dcm
23,129600.0,0.9817068375724216,0.00871601401487332,0.0,0.9807888914320592,0.9826657511253528,0.9846341649500268,0.9953612573434043,test_Mix_DPerc0_c_2.dcm
24,6912.0,0.97403866175199,0.08153681500898623,0.0,0.9787403677424277,0.9816891737239642,0.9831998168917372,0.9904478522926681,test_Mix_DPerc0_c_3.dcm
25,10164.0,0.9770407027653328,0.06452718199531103,0.0,0.9795529106584268,0.9817959868772411,0.983611810482948,0.9920653086137179,test_Mix_DPerc0_c_3.dcm
26,10240.0,0.9760452489604792,0.07745038200929188,0.0,0.9802853437094682,0.9821316853589684,0.9839475089646753,0.9927977416647593,test_Mix_DPerc0_c_3.dcm
27,15488.0,0.9810476031828302,0.004582932857756609,0.9580529488059816,0.9788052185854886,0.9821164263370717,0.9841458762493324,0.9916533150225071,test_Mix_DPerc0_c_3.dcm
28,49152.0,0.9755859623356476,0.07906666658912069,0.0,0.9802548256656748,0.9824216067750057,0.9842526894026092,0.9937590600442512,test_Mix_DPerc0_c_3.dcm
29,16200.0,0.9836073910180876,0.0019478601144882893,0.9770962081330586,0.9823147936217288,0.9835355153734645,0.9848630502784772,0.9916533150225071,test_Mix_DPerc0_c_3.dcm
30,147456.0,0.9809398403251642,0.041457525414132224,0.0,0.9811551079575799,0.9830319676508735,0.9850461585412376,0.9967193102922103,test_Mix_DPerc0_c_3.dcm
31,129600.0,0.9824091636077978,0.00912402266389148,0.0,0.9815060654612039,0.9833676661326008,0.9853513389791715,0.9967193102922103,test_Mix_DPerc0_c_3.dcm
